call_id,speaker,start,end,angry,disgust,fear,happy,neutral,sad,surprise,emotion,confidence,satisfaction
42f1c83050a548fd9e28dcd3d6ef7059,SPEAKER_01,0.4,5.4,0.00124,0.80495,0.02378,0.00037,0.00018,0.16891,0.00057,disgust,0.805,33.9
42f1c83050a548fd9e28dcd3d6ef7059,SPEAKER_01,6.8,8.5,0.05871,0.00414,0.33383,0.38051,0.05206,0.00314,0.1676,happy,0.3805,33.9
42f1c83050a548fd9e28dcd3d6ef7059,SPEAKER_00,10.0,15.0,0.00019,5e-05,0.00146,0.99529,0.00065,3e-05,0.00233,happy,0.9953,78.6
42f1c83050a548fd9e28dcd3d6ef7059,SPEAKER_01,17.2,21.1,0.00239,0.00366,0.13547,0.59934,0.01432,0.24049,0.00434,happy,0.5993,39.7
42f1c83050a548fd9e28dcd3d6ef7059,SPEAKER_01,22.1,25.8,0.00038,0.98172,0.0048,0.00011,6e-05,0.01266,0.00026,disgust,0.9817,40.4
42f1c83050a548fd9e28dcd3d6ef7059,SPEAKER_00,27.3,32.3,0.00013,4e-05,0.00022,0.99617,0.00028,1e-05,0.00316,happy,0.9962,79.0
42f1c83050a548fd9e28dcd3d6ef7059,SPEAKER_00,29.8,34.8,8e-05,3e-05,3e-05,0.99942,0.00016,0.0,0.00028,happy,0.9994,79.9
42f1c83050a548fd9e28dcd3d6ef7059,SPEAKER_00,32.3,37.3,5e-05,3e-05,3e-05,0.99954,0.0002,1e-05,0.00015,happy,0.9995,81.0
42f1c83050a548fd9e28dcd3d6ef7059,SPEAKER_00,34.8,39.8,0.00033,0.00076,0.00017,0.42727,0.5701,0.00016,0.0012,neutral,0.5701,82.0
42f1c83050a548fd9e28dcd3d6ef7059,SPEAKER_01,41.2,43.7,0.00037,0.01197,0.00019,8e-05,5e-05,0.98725,8e-05,sad,0.9872,38.0
42f1c83050a548fd9e28dcd3d6ef7059,SPEAKER_01,44.8,49.1,0.0001,0.99954,0.00014,4e-05,1e-05,7e-05,0.0001,disgust,0.9995,32.7
42f1c83050a548fd9e28dcd3d6ef7059,SPEAKER_00,50.5,54.8,0.00021,4e-05,0.00013,0.99804,0.00047,1e-05,0.00111,happy,0.998,86.4
42f1c83050a548fd9e28dcd3d6ef7059,SPEAKER_01,56.3,57.8,0.0023,0.02247,0.00228,0.07282,0.89142,0.00155,0.00717,neutral,0.8914,25.0
42f1c83050a548fd9e28dcd3d6ef7059,SPEAKER_01,58.9,63.8,0.0,1e-05,0.99986,1e-05,1e-05,7e-05,5e-05,fear,0.9999,22.8
42f1c83050a548fd9e28dcd3d6ef7059,SPEAKER_00,65.5,70.5,0.00026,0.00037,6e-05,0.99127,0.00745,6e-05,0.00054,happy,0.9913,90.6
42f1c83050a548fd9e28dcd3d6ef7059,SPEAKER_00,66.5,71.5,0.00025,0.00061,7e-05,0.94548,0.05297,0.00016,0.00045,happy,0.9455,90.9
42f1c83050a548fd9e28dcd3d6ef7059,SPEAKER_01,74.8,76.9,0.6645,0.03082,0.23496,0.01084,0.00685,0.00449,0.04754,angry,0.6645,19.2
42f1c83050a548fd9e28dcd3d6ef7059,SPEAKER_00,78.4,82.7,0.00117,0.00084,0.00032,0.67901,0.31625,0.00027,0.00215,happy,0.679,94.2
